matricula,data,codigo_situacao
37624,11/12/2025,15
37565,11/12/2025,15
37012,11/12/2025,15
36936,11/12/2025,15
36934,11/12/2025,15
36930,11/12/2025,15
36928,11/12/2025,15
36751,11/12/2025,15
36742,11/12/2025,15
36589,11/12/2025,15
36476,11/12/2025,15
36303,11/12/2025,15
36284,11/12/2025,15
36260,11/12/2025,15
36218,11/12/2025,15
36051,11/12/2025,15
35548,11/12/2025,15
35474,11/12/2025,15
35453,11/12/2025,15
35408,11/12/2025,15
35260,11/12/2025,15
35255,11/12/2025,15
35167,11/12/2025,15
35079,11/12/2025,15
35075,11/12/2025,15
35072,11/12/2025,15
35067,11/12/2025,15
35052,11/12/2025,15
35043,11/12/2025,15
34979,11/12/2025,15
34653,11/12/2025,15
34399,11/12/2025,15
34398,11/12/2025,15
34296,11/12/2025,15
34189,11/12/2025,15
34187,11/12/2025,15
34165,11/12/2025,15
33949,11/12/2025,15
33800,11/12/2025,15
33793,11/12/2025,15
33347,11/12/2025,15
33322,11/12/2025,15
33307,11/12/2025,15
33199,11/12/2025,15
32973,11/12/2025,15
32945,11/12/2025,15
32861,11/12/2025,15
32790,11/12/2025,15
32698,11/12/2025,15
32677,11/12/2025,15
32581,11/12/2025,15
32333,11/12/2025,15
32279,11/12/2025,15
32139,11/12/2025,15
32103,11/12/2025,15
31960,11/12/2025,15
31325,11/12/2025,15
31308,11/12/2025,15
31305,11/12/2025,15
30922,11/12/2025,15
30805,11/12/2025,15
30388,11/12/2025,15
30352,11/12/2025,15
30195,11/12/2025,15
30174,11/12/2025,15
29857,11/12/2025,15
29516,11/12/2025,15
28761,11/12/2025,15
28758,11/12/2025,15
28748,11/12/2025,15
28746,11/12/2025,15
28647,11/12/2025,15
28341,11/12/2025,15
28240,11/12/2025,15
28221,11/12/2025,15
27504,11/12/2025,15
27445,11/12/2025,15
27220,11/12/2025,15
27057,11/12/2025,15
25766,11/12/2025,15
25755,11/12/2025,15
25656,11/12/2025,15
25643,11/12/2025,15
22726,11/12/2025,15
21734,11/12/2025,15
19780,11/12/2025,15
19662,11/12/2025,15
18967,11/12/2025,15
18552,11/12/2025,15
16355,11/12/2025,15
15167,11/12/2025,15
15087,11/12/2025,15
14928,11/12/2025,15
14091,11/12/2025,15
11312,11/12/2025,15
7787,11/12/2025,15
37636,10/12/2025,15
37632,10/12/2025,15
37624,10/12/2025,15
37565,10/12/2025,15
37012,10/12/2025,15
36938,10/12/2025,15
36936,10/12/2025,15
36934,10/12/2025,15
36930,10/12/2025,15
36751,10/12/2025,15
36742,10/12/2025,15
36543,10/12/2025,15
36523,10/12/2025,15
36476,10/12/2025,15
36445,10/12/2025,15
36404,10/12/2025,15
36331,10/12/2025,15
36303,10/12/2025,15
36284,10/12/2025,15
36218,10/12/2025,15
35548,10/12/2025,15
35474,10/12/2025,15
35453,10/12/2025,15
35408,10/12/2025,15
35260,10/12/2025,15
35255,10/12/2025,15
35167,10/12/2025,15
35082,10/12/2025,15
35079,10/12/2025,15
35078,10/12/2025,15
35075,10/12/2025,15
35067,10/12/2025,15
35048,10/12/2025,15
35043,10/12/2025,15
35010,10/12/2025,15
34979,10/12/2025,15
34653,10/12/2025,15
34544,10/12/2025,15
34470,10/12/2025,15
34333,10/12/2025,15
34296,10/12/2025,15
34172,10/12/2025,15
34057,10/12/2025,15
34038,10/12/2025,15
33949,10/12/2025,15
33800,10/12/2025,15
33749,10/12/2025,15
33474,10/12/2025,15
33361,10/12/2025,15
33347,10/12/2025,15
33322,10/12/2025,15
33307,10/12/2025,15
33305,10/12/2025,15
33199,10/12/2025,15
33115,10/12/2025,15
33049,10/12/2025,15
32977,10/12/2025,15
32973,10/12/2025,15
32945,10/12/2025,15
32873,10/12/2025,15
32861,10/12/2025,15
32790,10/12/2025,15
32716,10/12/2025,15
32677,10/12/2025,15
31960,10/12/2025,15
31943,10/12/2025,15
31702,10/12/2025,15
31525,10/12/2025,15
31325,10/12/2025,15
31305,10/12/2025,15
30925,10/12/2025,15
30805,10/12/2025,15
30519,10/12/2025,15
30352,10/12/2025,15
30349,10/12/2025,15
30172,10/12/2025,15
29996,10/12/2025,15
29857,10/12/2025,15
